MAYV,Species,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,IUCN,Pop_T,BodyMass,HomeRange,X1.1_ActivityCycle,X13.1_AdultHeadBodyLen_mm,X3.1_AgeatFirstBirth_d,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X21.1_PopulationDensity_n.km2,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X16.2_LittersPerYear_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Aridity (precip/PET),BodySizeRatio (AdultBodyMass/NeonateBodyMass),RelAgeSexMat (Age at sexual maturity/maximum longevity)
1,Lagothrix lagothricha,Frugivore,78.9,11.4,0.1,4.3,4.9,NA,NA,0.4,VU,D,7.15,465,3,536.39,2766.7,4,223.99,1,2.82,4,638.75,1.01,360,437.09,10.72,1729.33,33,2,2,312.66,0.82,797455.26,4.25,-4.2,0.02,-60.5,-76.18,-68.34,0,1.04,0,0.08,226.56,257.89,1516.89,1543.35,0.146797551,0.016358187,4.803694444
0,Leontocebus fuscicollis,Omnivore or Frugivore,52.7,NA,NA,NA,31.23,8.67,6,4.95,LC,D,0.33,78.1,3,NA,850.45,5,148,1,0.2,0.33,293.5,1.83,294,39.18,19.49,406.61,6,2,2,90.1,1.22,1978748.26,3.18,-13.75,-5.28,-60.79,-78.01,-69.4,0,2.65,0,0.16,196.8,254.49,1450.05,1535.38,0.128176738,0.008422665,1.383027211
0,Leontocebus nigricollis,Omnivore,80,NA,NA,NA,NA,NA,NA,NA,LC,D,0.48,49,3,NA,850.45,NA,NA,1,0.25,0.4,NA,1.82,182.4,43.58,13.33,NA,6.3,2,NA,82.53,NA,63703.04,-1.83,-4.25,-3.04,-68.12,-73.22,-70.67,0,2.1,0,0.09,256.15,261.18,1480.78,1481.12,0.172943448,0.011014227,NA
0,Leontocebus tripartitus,Omnivore,NA,NA,NA,62,21,12,1,4,NT,D,0.4,18.5,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,12544.34,-1.5,-2.49,-2,-75.82,-77.27,-76.55,1,1.37,1,0.06,331.24,265.37,1359.24,1360.49,0.243471102,NA,NA
0,Leontopithecus caissara,Frugivore,74.52,NA,1,NA,21,NA,1,2.48,CR,D,0.58,345,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,3822.49,-25.28,-26.09,-25.68,-48.34,-49.02,-48.68,12,96.53,12,0.04,148.79,164.39,1206.23,1327.56,0.112077797,NA,NA
0,Leontopithecus chrysomelas,Omnivore,35,NA,NA,NA,64,1,NA,NA,EN,D,0.58,62.03333333,3,NA,NA,NA,NA,1,0.24,NA,NA,2.04,NA,NA,8.76,NA,6.7,2,NA,NA,NA,33921.69,-13.99,-16.03,-15.01,-38.91,-40.62,-39.77,12,37.8,13,0.07,153.12,223.99,1385.53,1596.66,0.095900192,NA,NA
0,Leontopithecus chrysopygus,Frugivore,73.4,NA,NA,0.2,10.1,15.2,1.1,NA,EN,D,0.615,151.5,3,NA,NA,4,NA,1,0.83,1.17,NA,NA,NA,NA,NA,NA,3.6,2,2,NA,NA,50004.81,-20.39,-23.58,-21.99,-47.97,-51.54,-49.76,9,52.2,14,0.09,127.26,218.64,1229.44,1390.24,0.091538152,NA,NA
0,Leontopithecus rosalia,Frugivore,81.8,NA,5,NA,14.5,1.5,NA,8.9,EN,S,0.64,96.1,3,260.22,868.7,3,134,1,0.26,0.37,182.5,1.94,297.6,51.89,4.07,890.34,4.5,2,2,75.69,1.56,22874.24,-21.2,-22.99,-22.1,-40.95,-43.13,-42.04,39,230.33,39,0.03,128.32,206.5,1231.46,1476.65,0.086899401,0.012333783,2.991733871
0,Mico acariensis,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79622.42,-8.06,-11.18,-9.62,-61.58,-65.11,-63.34,1,7.5,1,0.43,178.99,246.16,1329.16,1576.85,0.113511114,NA,NA
1,Mico argentatus,Omnivore,42.87,NA,NA,NA,7.28,37.73,12.13,NA,LC,D,0.35,17.386,3,NA,609.55,4,NA,1,NA,NA,219.6,1.84,201.6,35.8,7.52,701.52,9.5,2,2,NA,1.42,123514,-1.09,-5.09,-3.09,-49.38,-55.24,-52.31,1,3.87,1,0.13,171.85,254.42,1412.78,1614.39,0.106448875,0.009776536,3.479761905
